wiki_fin-swe: 1500	 acc: --	 ppl: 277.12	 xent: 5.62	  24.86 TFLOP/s	 7218/7357 tok/s	 724685 sents	  19461 sec	
wiki_fin-swe: 2000	 acc: --	 ppl: 44.51	 xent: 3.80	  25.15 TFLOP/s	 7306/7452 tok/s	 975087 sents	  25890 sec	
wiki_fin-swe: 2500	 acc: --	 ppl: 20.17	 xent: 3.00	  25.02 TFLOP/s	 7264/7418 tok/s	 1222819 sents	  32288 sec	
wiki_fin-swe: 3000	 acc: --	 ppl: 14.87	 xent: 2.70	  24.07 TFLOP/s	 6994/7130 tok/s	 1473548 sents	  39038 sec	
wiki_fin-swe: 3500	 acc: --	 ppl: 12.29	 xent: 2.51	  25.42 TFLOP/s	 7386/7526 tok/s	 1724483 sents	  45475 sec	
wiki_fin-swe: 4000	 acc: --	 ppl: 10.84	 xent: 2.38	  25.34 TFLOP/s	 7363/7504 tok/s	 1974457 sents	  51910 sec	
wiki_fin-swe: 4500	 acc: --	 ppl: 10.42	 xent: 2.34	  25.82 TFLOP/s	 7500/7642 tok/s	 2224470 sents	  58324 sec	
wiki_fin-swe: 5000	 acc: --	 ppl:  9.59	 xent: 2.26	  25.61 TFLOP/s	 7434/7586 tok/s	 2476402 sents	  64745 sec	
wiki_fin-swe: 5500	 acc: --	 ppl:  9.37	 xent: 2.24	  24.70 TFLOP/s	 7183/7315 tok/s	 2732254 sents	  71347 sec	
wiki_fin-swe: 6000	 acc: --	 ppl:  9.03	 xent: 2.20	  25.26 TFLOP/s	 7338/7471 tok/s	 2973699 sents	  77738 sec	
wiki_fin-swe: 6500	 acc: --	 ppl:  8.78	 xent: 2.17	  25.45 TFLOP/s	 7392/7536 tok/s	 3222272 sents	  84133 sec	
wiki_fin-swe: 7000	 acc: --	 ppl:  8.58	 xent: 2.15	  25.56 TFLOP/s	 7428/7569 tok/s	 3475861 sents	  90599 sec	
wiki_fin-swe: 7500	 acc: --	 ppl:  8.47	 xent: 2.14	  25.27 TFLOP/s	 7341/7488 tok/s	 3728080 sents	  97032 sec	
wiki_fin-swe: 8000	 acc: --	 ppl:  8.32	 xent: 2.12	  24.68 TFLOP/s	 7178/7301 tok/s	 3979233 sents	 103698 sec	
wiki_fin-swe: 8500	 acc: --	 ppl:  8.32	 xent: 2.12	  25.77 TFLOP/s	 7487/7620 tok/s	 4222633 sents	 110087 sec	
wiki_fin-swe: 9000	 acc: --	 ppl:  8.08	 xent: 2.09	  25.79 TFLOP/s	 7491/7627 tok/s	 4473403 sents	 116643 sec	
