task_bos-eng: 31500	 acc: --	 ppl: 11.50	 xent: 2.44	  17.60 TFLOP/s	 18366/18044 tok/s	 8374052 sents	  95694 sec	
task_bos-eng: 32000	 acc: --	 ppl: 11.46	 xent: 2.44	  17.61 TFLOP/s	 18326/18108 tok/s	 8507477 sents	  97152 sec	
task_bos-eng: 32500	 acc: --	 ppl: 11.23	 xent: 2.42	  17.62 TFLOP/s	 18365/18080 tok/s	 8639459 sents	  98601 sec	
task_bos-eng: 33000	 acc: --	 ppl: 11.49	 xent: 2.44	  14.22 TFLOP/s	 14779/14643 tok/s	 8770721 sents	 100379 sec	
task_bos-eng: 33500	 acc: --	 ppl: 11.60	 xent: 2.45	  17.34 TFLOP/s	 18051/17816 tok/s	 8901447 sents	 101830 sec	
task_bos-eng: 34000	 acc: --	 ppl: 11.31	 xent: 2.43	  17.64 TFLOP/s	 18332/18162 tok/s	 9033640 sents	 103276 sec	
task_bos-eng: 34500	 acc: --	 ppl: 11.09	 xent: 2.41	  17.62 TFLOP/s	 18324/18122 tok/s	 9166129 sents	 104722 sec	
task_bos-eng: 35000	 acc: --	 ppl: 11.07	 xent: 2.40	  17.66 TFLOP/s	 18336/18189 tok/s	 9298846 sents	 106170 sec	
task_bos-eng: 35500	 acc: --	 ppl: 11.57	 xent: 2.45	  14.41 TFLOP/s	 15025/14791 tok/s	 9430557 sents	 107931 sec	
task_bos-eng: 36000	 acc: --	 ppl: 11.13	 xent: 2.41	  17.84 TFLOP/s	 18567/18341 tok/s	 9563549 sents	 109369 sec	
task_bos-eng: 36500	 acc: --	 ppl: 11.34	 xent: 2.43	  17.75 TFLOP/s	 18487/18232 tok/s	 9695859 sents	 110810 sec	
task_bos-eng: 37000	 acc: --	 ppl: 11.19	 xent: 2.42	  17.99 TFLOP/s	 18739/18486 tok/s	 9829901 sents	 112246 sec	
task_bos-eng: 37500	 acc: --	 ppl: 10.95	 xent: 2.39	  17.89 TFLOP/s	 18629/18371 tok/s	 9962398 sents	 113684 sec	
task_bos-eng: 38000	 acc: --	 ppl: 10.89	 xent: 2.39	  14.52 TFLOP/s	 15110/14922 tok/s	 10094454 sents	 115446 sec	
task_bos-eng: 38500	 acc: --	 ppl: 11.05	 xent: 2.40	  17.86 TFLOP/s	 18614/18335 tok/s	 10227687 sents	 116889 sec	
task_bos-eng: 39000	 acc: --	 ppl: 11.14	 xent: 2.41	  17.69 TFLOP/s	 18357/18226 tok/s	 10360219 sents	 118331 sec	
task_bos-eng: 39500	 acc: --	 ppl: 11.05	 xent: 2.40	  17.97 TFLOP/s	 18703/18469 tok/s	 10494542 sents	 119773 sec	
task_bos-eng: 40000	 acc: --	 ppl: 11.18	 xent: 2.41	  17.93 TFLOP/s	 18609/18482 tok/s	 10629156 sents	 121215 sec	
task_bos-eng: 40500	 acc: --	 ppl: 11.37	 xent: 2.43	  14.60 TFLOP/s	 15158/15043 tok/s	 10763901 sents	 122985 sec	
task_bos-eng: 41000	 acc: --	 ppl: 11.41	 xent: 2.43	  17.95 TFLOP/s	 18696/18451 tok/s	 10899156 sents	 124431 sec	
task_bos-eng: 41500	 acc: --	 ppl: 10.86	 xent: 2.39	  17.68 TFLOP/s	 18402/18182 tok/s	 11032272 sents	 125882 sec	
task_bos-eng: 42000	 acc: --	 ppl: 11.38	 xent: 2.43	  17.89 TFLOP/s	 18630/18376 tok/s	 11167076 sents	 127330 sec	
task_bos-eng: 42500	 acc: --	 ppl: 11.13	 xent: 2.41	  17.38 TFLOP/s	 18083/17873 tok/s	 11297568 sents	 128777 sec	
task_bos-eng: 43000	 acc: --	 ppl: 10.61	 xent: 2.36	  14.65 TFLOP/s	 15233/15064 tok/s	 11432168 sents	 130553 sec	
task_bos-eng: 43500	 acc: --	 ppl: 11.27	 xent: 2.42	  17.52 TFLOP/s	 18236/18005 tok/s	 11564773 sents	 132011 sec	

task_bos-fra: 500	 acc: --	 ppl: 25133.83	 xent: 10.13	  17.06 TFLOP/s	 17035/18094 tok/s	 131791 sents	   1554 sec	
task_bos-fra: 1000	 acc: --	 ppl: 6646.57	 xent: 8.80	  16.81 TFLOP/s	 16847/17788 tok/s	 258985 sents	   3076 sec	
task_bos-fra: 1500	 acc: --	 ppl: 2494.18	 xent: 7.82	  17.26 TFLOP/s	 17251/18301 tok/s	 387810 sents	   4576 sec	
task_bos-fra: 2000	 acc: --	 ppl: 1414.27	 xent: 7.25	  17.30 TFLOP/s	 17313/18310 tok/s	 515236 sents	   6064 sec	
task_bos-fra: 2500	 acc: --	 ppl: 988.36	 xent: 6.90	  18.21 TFLOP/s	 18226/19284 tok/s	 647919 sents	   7527 sec	
