sentmt_bos-eng: 36000	 acc: --	 ppl: 18.58	 xent: 2.92	   5.13 TFLOP/s	 11274/11222 tok/s	 18432080 sents	  38613 sec	
sentmt_bos-eng: 36500	 acc: --	 ppl: 18.67	 xent: 2.93	   5.09 TFLOP/s	 11205/11133 tok/s	 18688052 sents	  39106 sec	
sentmt_bos-eng: 37000	 acc: --	 ppl: 18.51	 xent: 2.92	   5.10 TFLOP/s	 11206/11157 tok/s	 18944092 sents	  39601 sec	
sentmt_bos-eng: 37500	 acc: --	 ppl: 18.79	 xent: 2.93	   5.10 TFLOP/s	 11225/11159 tok/s	 19200072 sents	  40094 sec	
sentmt_bos-eng: 38000	 acc: --	 ppl: 18.71	 xent: 2.93	   3.62 TFLOP/s	 7968/7920 tok/s	 19456104 sents	  40783 sec	
sentmt_bos-eng: 38500	 acc: --	 ppl: 18.72	 xent: 2.93	   5.09 TFLOP/s	 11201/11137 tok/s	 19712060 sents	  41275 sec	
sentmt_bos-eng: 39000	 acc: --	 ppl: 18.60	 xent: 2.92	   5.12 TFLOP/s	 11274/11203 tok/s	 19968084 sents	  41767 sec	
sentmt_bos-eng: 39500	 acc: --	 ppl: 18.61	 xent: 2.92	   5.07 TFLOP/s	 11141/11096 tok/s	 20224116 sents	  42262 sec	
sentmt_bos-eng: 40000	 acc: --	 ppl: 18.75	 xent: 2.93	   5.11 TFLOP/s	 11233/11162 tok/s	 20480040 sents	  42754 sec	
sentmt_bos-eng: 40500	 acc: --	 ppl: 18.58	 xent: 2.92	   3.50 TFLOP/s	 7697/7653 tok/s	 20736084 sents	  43468 sec	
sentmt_bos-eng: 41000	 acc: --	 ppl: 18.41	 xent: 2.91	   5.16 TFLOP/s	 11358/11291 tok/s	 20992072 sents	  43960 sec	
sentmt_bos-eng: 41500	 acc: --	 ppl: 18.52	 xent: 2.92	   5.11 TFLOP/s	 11248/11197 tok/s	 21248096 sents	  44453 sec	
sentmt_bos-eng: 42000	 acc: --	 ppl: 18.58	 xent: 2.92	   5.11 TFLOP/s	 11247/11159 tok/s	 21504060 sents	  44947 sec	
sentmt_bos-eng: 42500	 acc: --	 ppl: 18.28	 xent: 2.91	   5.15 TFLOP/s	 11329/11255 tok/s	 21760092 sents	  45439 sec	
sentmt_bos-eng: 43000	 acc: --	 ppl: 18.70	 xent: 2.93	   3.65 TFLOP/s	 8034/7989 tok/s	 22016080 sents	  46123 sec	
sentmt_bos-eng: 43500	 acc: --	 ppl: 18.47	 xent: 2.92	   5.12 TFLOP/s	 11253/11187 tok/s	 22272104 sents	  46614 sec	
sentmt_bos-eng: 44000	 acc: --	 ppl: 18.57	 xent: 2.92	   5.12 TFLOP/s	 11266/11231 tok/s	 22528072 sents	  47106 sec	
sentmt_bos-eng: 44500	 acc: --	 ppl: 18.44	 xent: 2.91	   5.10 TFLOP/s	 11223/11150 tok/s	 22784072 sents	  47598 sec	
sentmt_bos-eng: 45000	 acc: --	 ppl: 18.64	 xent: 2.93	   5.15 TFLOP/s	 11338/11280 tok/s	 23040032 sents	  48090 sec	
sentmt_bos-eng: 45500	 acc: --	 ppl: 18.72	 xent: 2.93	   3.57 TFLOP/s	 7855/7814 tok/s	 23296100 sents	  48779 sec	
sentmt_bos-eng: 46000	 acc: --	 ppl: 18.48	 xent: 2.92	   5.10 TFLOP/s	 11220/11175 tok/s	 23552072 sents	  49274 sec	
sentmt_bos-eng: 46500	 acc: --	 ppl: 18.48	 xent: 2.92	   5.11 TFLOP/s	 11232/11183 tok/s	 23808072 sents	  49767 sec	
sentmt_bos-eng: 47000	 acc: --	 ppl: 18.42	 xent: 2.91	   5.13 TFLOP/s	 11282/11217 tok/s	 24064104 sents	  50258 sec	
sentmt_bos-eng: 47500	 acc: --	 ppl: 18.58	 xent: 2.92	   5.11 TFLOP/s	 11239/11164 tok/s	 24320092 sents	  50749 sec	
sentmt_bos-eng: 48000	 acc: --	 ppl: 18.38	 xent: 2.91	   3.56 TFLOP/s	 7835/7794 tok/s	 24576072 sents	  51462 sec	
sentmt_bos-eng: 48500	 acc: --	 ppl: 18.54	 xent: 2.92	   5.05 TFLOP/s	 11107/11051 tok/s	 24832080 sents	  51957 sec	
sentmt_bos-eng: 49000	 acc: --	 ppl: 18.51	 xent: 2.92	   5.08 TFLOP/s	 11180/11115 tok/s	 25088072 sents	  52451 sec	
sentmt_bos-eng: 49500	 acc: --	 ppl: 18.68	 xent: 2.93	   5.04 TFLOP/s	 11081/11042 tok/s	 25344100 sents	  52945 sec	
sentmt_bos-eng: 50000	 acc: --	 ppl: 18.75	 xent: 2.93	   5.05 TFLOP/s	 11108/11068 tok/s	 25600100 sents	  53438 sec	
