task_eng-bos: 7000	 acc: --	 ppl: 534.82	 xent: 6.28	  17.41 TFLOP/s	 19385/16906 tok/s	 1888265 sents	  20272 sec	
task_eng-bos: 7500	 acc: --	 ppl: 418.76	 xent: 6.04	  17.56 TFLOP/s	 19556/17047 tok/s	 2021896 sents	  21640 sec	
task_eng-bos: 8000	 acc: --	 ppl: 231.94	 xent: 5.45	  14.47 TFLOP/s	 16123/14047 tok/s	 2159141 sents	  23334 sec	
task_eng-bos: 8500	 acc: --	 ppl: 114.30	 xent: 4.74	  17.51 TFLOP/s	 19516/16982 tok/s	 2294796 sents	  24721 sec	
task_eng-bos: 9000	 acc: --	 ppl: 68.73	 xent: 4.23	  17.46 TFLOP/s	 19454/16945 tok/s	 2429237 sents	  26101 sec	
task_eng-bos: 9500	 acc: --	 ppl: 47.38	 xent: 3.86	  17.28 TFLOP/s	 19258/16770 tok/s	 2561638 sents	  27474 sec	
task_eng-bos: 10000	 acc: --	 ppl: 36.13	 xent: 3.59	  17.46 TFLOP/s	 19455/16945 tok/s	 2695317 sents	  28849 sec	
task_eng-bos: 10500	 acc: --	 ppl: 29.00	 xent: 3.37	  14.49 TFLOP/s	 16129/14065 tok/s	 2831675 sents	  30540 sec	
task_eng-bos: 11000	 acc: --	 ppl: 24.41	 xent: 3.20	  17.47 TFLOP/s	 19467/16946 tok/s	 2966808 sents	  31927 sec	
task_eng-bos: 11500	 acc: --	 ppl: 21.41	 xent: 3.06	  17.68 TFLOP/s	 19699/17151 tok/s	 3102854 sents	  33311 sec	
task_eng-bos: 12000	 acc: --	 ppl: 19.20	 xent: 2.95	  17.56 TFLOP/s	 19575/17041 tok/s	 3239248 sents	  34702 sec	
task_eng-bos: 12500	 acc: --	 ppl: 17.61	 xent: 2.87	  17.60 TFLOP/s	 19614/17084 tok/s	 3375059 sents	  36086 sec	
task_eng-bos: 13000	 acc: --	 ppl: 16.28	 xent: 2.79	  14.47 TFLOP/s	 16119/14040 tok/s	 3511716 sents	  37778 sec	
