instruct_gmw-deu: 32500	 acc: --	 ppl: 126.10	 xent: 4.84	  10.65 TFLOP/s	 16605/6825 tok/s	 11337872 sents	  56853 sec	
instruct_gmw-deu: 33000	 acc: --	 ppl: 125.39	 xent: 4.83	   9.34 TFLOP/s	 14581/5976 tok/s	 11510326 sents	  57806 sec	

instruct_gmw-eng: 500	 acc: --	 ppl: 9538.08	 xent: 9.16	   9.09 TFLOP/s	 18966/1587 tok/s	  86212 sents	    916 sec	
instruct_gmw-eng: 1000	 acc: --	 ppl: 1464.36	 xent: 7.29	   9.61 TFLOP/s	 20063/1660 tok/s	 172016 sents	   1779 sec	
instruct_gmw-eng: 1500	 acc: --	 ppl: 588.08	 xent: 6.38	   9.90 TFLOP/s	 20677/1711 tok/s	 258740 sents	   2625 sec	
instruct_gmw-eng: 2000	 acc: --	 ppl: 412.45	 xent: 6.02	   9.92 TFLOP/s	 20752/1683 tok/s	 344963 sents	   3462 sec	
instruct_gmw-eng: 2500	 acc: --	 ppl: 364.20	 xent: 5.90	   9.96 TFLOP/s	 20775/1740 tok/s	 430522 sents	   4298 sec	
instruct_gmw-eng: 3000	 acc: --	 ppl: 306.98	 xent: 5.73	   7.32 TFLOP/s	 15277/1270 tok/s	 517130 sents	   5445 sec	
instruct_gmw-eng: 3500	 acc: --	 ppl: 262.80	 xent: 5.57	  10.00 TFLOP/s	 20900/1715 tok/s	 603334 sents	   6282 sec	
instruct_gmw-eng: 4000	 acc: --	 ppl: 226.17	 xent: 5.42	   9.97 TFLOP/s	 20863/1686 tok/s	 689272 sents	   7110 sec	
instruct_gmw-eng: 4500	 acc: --	 ppl: 210.18	 xent: 5.35	  10.10 TFLOP/s	 21071/1748 tok/s	 776117 sents	   7945 sec	
instruct_gmw-eng: 5000	 acc: --	 ppl: 187.42	 xent: 5.23	   9.98 TFLOP/s	 20831/1722 tok/s	 862233 sents	   8777 sec	
instruct_gmw-eng: 5500	 acc: --	 ppl: 177.50	 xent: 5.18	   7.44 TFLOP/s	 15501/1316 tok/s	 948555 sents	   9906 sec	
instruct_gmw-eng: 6000	 acc: --	 ppl: 157.09	 xent: 5.06	  10.02 TFLOP/s	 20915/1745 tok/s	 1035186 sents	  10738 sec	
instruct_gmw-eng: 6500	 acc: --	 ppl: 148.33	 xent: 5.00	   9.97 TFLOP/s	 20782/1750 tok/s	 1121614 sents	  11576 sec	
instruct_gmw-eng: 7000	 acc: --	 ppl: 133.87	 xent: 4.90	  10.05 TFLOP/s	 20984/1728 tok/s	 1207425 sents	  12404 sec	
instruct_gmw-eng: 7500	 acc: --	 ppl: 123.88	 xent: 4.82	  10.11 TFLOP/s	 21114/1748 tok/s	 1293991 sents	  13234 sec	
instruct_gmw-eng: 8000	 acc: --	 ppl: 119.60	 xent: 4.78	   7.99 TFLOP/s	 16671/1396 tok/s	 1379871 sents	  14270 sec	
instruct_gmw-eng: 8500	 acc: --	 ppl: 110.60	 xent: 4.71	  10.09 TFLOP/s	 21056/1741 tok/s	 1466028 sents	  15099 sec	
instruct_gmw-eng: 9000	 acc: --	 ppl: 106.98	 xent: 4.67	  10.00 TFLOP/s	 20864/1741 tok/s	 1552290 sents	  15934 sec	
instruct_gmw-eng: 9500	 acc: --	 ppl: 102.42	 xent: 4.63	  10.06 TFLOP/s	 20971/1759 tok/s	 1638315 sents	  16765 sec	
instruct_gmw-eng: 10000	 acc: --	 ppl: 95.02	 xent: 4.55	  10.05 TFLOP/s	 20978/1741 tok/s	 1724029 sents	  17590 sec	
instruct_gmw-eng: 10500	 acc: --	 ppl: 91.42	 xent: 4.52	   9.23 TFLOP/s	 19283/1585 tok/s	 1810687 sents	  18499 sec	
instruct_gmw-eng: 11000	 acc: --	 ppl: 90.14	 xent: 4.50	   9.99 TFLOP/s	 20829/1750 tok/s	 1896651 sents	  19332 sec	
instruct_gmw-eng: 11500	 acc: --	 ppl: 86.39	 xent: 4.46	  10.06 TFLOP/s	 20961/1772 tok/s	 1982928 sents	  20165 sec	
instruct_gmw-eng: 12000	 acc: --	 ppl: 83.62	 xent: 4.43	   9.97 TFLOP/s	 20800/1739 tok/s	 2069517 sents	  21003 sec	
instruct_gmw-eng: 12500	 acc: --	 ppl: 82.06	 xent: 4.41	   9.77 TFLOP/s	 20378/1708 tok/s	 2155496 sents	  21857 sec	
instruct_gmw-eng: 13000	 acc: --	 ppl: 79.26	 xent: 4.37	   8.09 TFLOP/s	 16862/1412 tok/s	 2241034 sents	  22885 sec	
instruct_gmw-eng: 13500	 acc: --	 ppl: 76.51	 xent: 4.34	   9.91 TFLOP/s	 20705/1696 tok/s	 2327095 sents	  23725 sec	
instruct_gmw-eng: 14000	 acc: --	 ppl: 76.10	 xent: 4.33	   9.89 TFLOP/s	 20674/1685 tok/s	 2412899 sents	  24568 sec	
instruct_gmw-eng: 14500	 acc: --	 ppl: 76.42	 xent: 4.34	   9.85 TFLOP/s	 20539/1726 tok/s	 2499129 sents	  25416 sec	
instruct_gmw-eng: 15000	 acc: --	 ppl: 75.81	 xent: 4.33	  10.06 TFLOP/s	 20938/1786 tok/s	 2584888 sents	  26245 sec	
instruct_gmw-eng: 15500	 acc: --	 ppl: 72.33	 xent: 4.28	   9.01 TFLOP/s	 18790/1568 tok/s	 2671246 sents	  27176 sec	
instruct_gmw-eng: 16000	 acc: --	 ppl: 72.17	 xent: 4.28	  10.11 TFLOP/s	 21120/1738 tok/s	 2757145 sents	  28003 sec	
instruct_gmw-eng: 16500	 acc: --	 ppl: 70.12	 xent: 4.25	  10.06 TFLOP/s	 21012/1735 tok/s	 2843459 sents	  28834 sec	
instruct_gmw-eng: 17000	 acc: --	 ppl: 71.84	 xent: 4.27	   9.94 TFLOP/s	 20718/1753 tok/s	 2929451 sents	  29669 sec	
instruct_gmw-eng: 17500	 acc: --	 ppl: 69.01	 xent: 4.23	  10.05 TFLOP/s	 20993/1730 tok/s	 3015429 sents	  30497 sec	
instruct_gmw-eng: 18000	 acc: --	 ppl: 70.22	 xent: 4.25	   9.26 TFLOP/s	 19290/1633 tok/s	 3101669 sents	  31396 sec	
instruct_gmw-eng: 18500	 acc: --	 ppl: 68.34	 xent: 4.22	  10.03 TFLOP/s	 20946/1732 tok/s	 3188131 sents	  32229 sec	
instruct_gmw-eng: 19000	 acc: --	 ppl: 66.42	 xent: 4.20	  10.03 TFLOP/s	 20943/1724 tok/s	 3274185 sents	  33060 sec	
instruct_gmw-eng: 19500	 acc: --	 ppl: 67.16	 xent: 4.21	  10.04 TFLOP/s	 20950/1751 tok/s	 3360451 sents	  33894 sec	
instruct_gmw-eng: 20000	 acc: --	 ppl: 65.60	 xent: 4.18	  10.09 TFLOP/s	 21045/1755 tok/s	 3446872 sents	  34727 sec	
