zero_deu-ukr: 14500	 acc: --	 ppl: 14.67	 xent: 2.69	  13.41 TFLOP/s	 36876/42287 tok/s	 7070595 sents	  39158 sec	
zero_deu-ukr: 14750	 acc: --	 ppl: 15.13	 xent: 2.72	  13.04 TFLOP/s	 35856/41169 tok/s	 7191624 sents	  39763 sec	
zero_deu-ukr: 15000	 acc: --	 ppl: 14.46	 xent: 2.67	  13.42 TFLOP/s	 36855/42387 tok/s	 7315506 sents	  40365 sec	
zero_deu-ukr: 15250	 acc: --	 ppl: 14.20	 xent: 2.65	   9.46 TFLOP/s	 25994/29874 tok/s	 7440284 sents	  41225 sec	
zero_deu-ukr: 15500	 acc: --	 ppl: 15.44	 xent: 2.74	  12.91 TFLOP/s	 35450/40806 tok/s	 7561240 sents	  41835 sec	
zero_deu-ukr: 15750	 acc: --	 ppl: 13.64	 xent: 2.61	  13.35 TFLOP/s	 36696/42111 tok/s	 7686136 sents	  42445 sec	
zero_deu-ukr: 16000	 acc: --	 ppl: 14.50	 xent: 2.67	  13.18 TFLOP/s	 36233/41617 tok/s	 7809016 sents	  43052 sec	
zero_deu-ukr: 16250	 acc: --	 ppl: 15.06	 xent: 2.71	   9.10 TFLOP/s	 24982/28767 tok/s	 7928139 sents	  43903 sec	

zero_fra-nld: 250	 acc: --	 ppl: 39951.41	 xent: 10.60	  13.77 TFLOP/s	 40977/40797 tok/s	 122676 sents	    602 sec	
zero_fra-nld: 500	 acc: --	 ppl: 2805.21	 xent: 7.94	  13.43 TFLOP/s	 40004/39737 tok/s	 243777 sents	   1210 sec	
zero_fra-nld: 750	 acc: --	 ppl: 777.72	 xent: 6.66	  13.50 TFLOP/s	 40180/39980 tok/s	 365497 sents	   1817 sec	
zero_fra-nld: 1000	 acc: --	 ppl: 540.21	 xent: 6.29	  13.41 TFLOP/s	 39933/39684 tok/s	 485454 sents	   2421 sec	
zero_fra-nld: 1250	 acc: --	 ppl: 361.46	 xent: 5.89	   8.95 TFLOP/s	 26647/26513 tok/s	 607357 sents	   3341 sec	
zero_fra-nld: 1500	 acc: --	 ppl: 280.07	 xent: 5.64	  13.77 TFLOP/s	 41005/40784 tok/s	 733235 sents	   3957 sec	
zero_fra-nld: 1750	 acc: --	 ppl: 262.96	 xent: 5.57	  13.77 TFLOP/s	 40969/40757 tok/s	 856373 sents	   4562 sec	
zero_fra-nld: 2000	 acc: --	 ppl: 258.05	 xent: 5.55	  13.34 TFLOP/s	 39683/39544 tok/s	 975093 sents	   5161 sec	
zero_fra-nld: 2250	 acc: --	 ppl: 191.92	 xent: 5.26	   8.97 TFLOP/s	 26694/26556 tok/s	 1096314 sents	   6074 sec	
zero_fra-nld: 2500	 acc: --	 ppl: 149.66	 xent: 5.01	  13.77 TFLOP/s	 41006/40792 tok/s	 1220070 sents	   6680 sec	
zero_fra-nld: 2750	 acc: --	 ppl: 107.07	 xent: 4.67	  13.82 TFLOP/s	 41122/40938 tok/s	 1343163 sents	   7280 sec	
zero_fra-nld: 3000	 acc: --	 ppl: 97.18	 xent: 4.58	  13.71 TFLOP/s	 40814/40624 tok/s	 1465335 sents	   7880 sec	
zero_fra-nld: 3250	 acc: --	 ppl: 66.88	 xent: 4.20	   8.94 TFLOP/s	 26594/26466 tok/s	 1586716 sents	   8795 sec	
zero_fra-nld: 3500	 acc: --	 ppl: 51.85	 xent: 3.95	  13.42 TFLOP/s	 39954/39750 tok/s	 1707275 sents	   9399 sec	
zero_fra-nld: 3750	 acc: --	 ppl: 46.21	 xent: 3.83	  13.58 TFLOP/s	 40447/40206 tok/s	 1830541 sents	  10012 sec	
zero_fra-nld: 4000	 acc: --	 ppl: 34.53	 xent: 3.54	  13.59 TFLOP/s	 40460/40230 tok/s	 1952045 sents	  10615 sec	
zero_fra-nld: 4250	 acc: --	 ppl: 28.41	 xent: 3.35	   9.05 TFLOP/s	 26954/26762 tok/s	 2070473 sents	  11499 sec	
zero_fra-nld: 4500	 acc: --	 ppl: 27.41	 xent: 3.31	  13.17 TFLOP/s	 39230/38984 tok/s	 2190339 sents	  12112 sec	
zero_fra-nld: 4750	 acc: --	 ppl: 25.38	 xent: 3.23	  13.46 TFLOP/s	 40110/39812 tok/s	 2312402 sents	  12723 sec	
zero_fra-nld: 5000	 acc: --	 ppl: 24.33	 xent: 3.19	  13.58 TFLOP/s	 40457/40243 tok/s	 2436768 sents	  13335 sec	
zero_fra-nld: 5250	 acc: --	 ppl: 20.56	 xent: 3.02	   9.20 TFLOP/s	 27418/27235 tok/s	 2560492 sents	  14240 sec	
zero_fra-nld: 5500	 acc: --	 ppl: 18.53	 xent: 2.92	  13.36 TFLOP/s	 39808/39500 tok/s	 2682025 sents	  14854 sec	
zero_fra-nld: 5750	 acc: --	 ppl: 18.26	 xent: 2.90	  13.28 TFLOP/s	 39555/39269 tok/s	 2801045 sents	  15460 sec	
zero_fra-nld: 6000	 acc: --	 ppl: 17.96	 xent: 2.89	  13.40 TFLOP/s	 39948/39623 tok/s	 2919934 sents	  16060 sec	
zero_fra-nld: 6250	 acc: --	 ppl: 19.72	 xent: 2.98	   9.26 TFLOP/s	 27610/27396 tok/s	 3038371 sents	  16927 sec	
zero_fra-nld: 6500	 acc: --	 ppl: 18.47	 xent: 2.92	  13.24 TFLOP/s	 39423/39192 tok/s	 3156993 sents	  17532 sec	
zero_fra-nld: 6750	 acc: --	 ppl: 16.65	 xent: 2.81	  13.89 TFLOP/s	 41308/41136 tok/s	 3279881 sents	  18131 sec	
zero_fra-nld: 7000	 acc: --	 ppl: 17.35	 xent: 2.85	  13.54 TFLOP/s	 40325/40085 tok/s	 3401459 sents	  18736 sec	
zero_fra-nld: 7250	 acc: --	 ppl: 17.00	 xent: 2.83	   8.82 TFLOP/s	 26221/26124 tok/s	 3520978 sents	  19649 sec	
zero_fra-nld: 7500	 acc: --	 ppl: 16.01	 xent: 2.77	  13.65 TFLOP/s	 40644/40402 tok/s	 3642423 sents	  20248 sec	
zero_fra-nld: 7750	 acc: --	 ppl: 16.03	 xent: 2.77	  13.83 TFLOP/s	 41184/40952 tok/s	 3764959 sents	  20844 sec	
zero_fra-nld: 8000	 acc: --	 ppl: 16.36	 xent: 2.80	  13.44 TFLOP/s	 40003/39806 tok/s	 3884003 sents	  21442 sec	
zero_fra-nld: 8250	 acc: --	 ppl: 15.21	 xent: 2.72	   9.13 TFLOP/s	 27188/27048 tok/s	 4007614 sents	  22354 sec	
zero_fra-nld: 8500	 acc: --	 ppl: 16.36	 xent: 2.79	  13.51 TFLOP/s	 40222/40007 tok/s	 4127610 sents	  22954 sec	
zero_fra-nld: 8750	 acc: --	 ppl: 15.42	 xent: 2.74	  13.61 TFLOP/s	 40497/40311 tok/s	 4248725 sents	  23553 sec	
zero_fra-nld: 9000	 acc: --	 ppl: 15.35	 xent: 2.73	  13.85 TFLOP/s	 41239/41016 tok/s	 4373106 sents	  24157 sec	
zero_fra-nld: 9250	 acc: --	 ppl: 16.01	 xent: 2.77	   9.49 TFLOP/s	 28262/28107 tok/s	 4494760 sents	  25018 sec	
zero_fra-nld: 9500	 acc: --	 ppl: 15.55	 xent: 2.74	  13.25 TFLOP/s	 39474/39215 tok/s	 4613773 sents	  25624 sec	
zero_fra-nld: 9750	 acc: --	 ppl: 15.35	 xent: 2.73	  13.37 TFLOP/s	 39792/39596 tok/s	 4734065 sents	  26230 sec	
zero_fra-nld: 10000	 acc: --	 ppl: 15.15	 xent: 2.72	  13.66 TFLOP/s	 40646/40457 tok/s	 4855793 sents	  26831 sec	
zero_fra-nld: 10250	 acc: --	 ppl: 15.88	 xent: 2.77	   8.87 TFLOP/s	 26438/26249 tok/s	 4975543 sents	  27741 sec	
zero_fra-nld: 10500	 acc: --	 ppl: 15.03	 xent: 2.71	  13.12 TFLOP/s	 39069/38844 tok/s	 5092697 sents	  28344 sec	
zero_fra-nld: 10750	 acc: --	 ppl: 15.23	 xent: 2.72	  13.47 TFLOP/s	 40121/39862 tok/s	 5214105 sents	  28952 sec	
zero_fra-nld: 11000	 acc: --	 ppl: 15.23	 xent: 2.72	  13.34 TFLOP/s	 39722/39480 tok/s	 5333882 sents	  29559 sec	
zero_fra-nld: 11250	 acc: --	 ppl: 14.36	 xent: 2.66	   9.34 TFLOP/s	 27792/27630 tok/s	 5454261 sents	  30432 sec	
