sentmt_bul-eng: 14500	 acc: --	 ppl: 13.76	 xent: 2.62	   9.99 TFLOP/s	 2989/3006 tok/s	 7280547 sents	  51811 sec	
sentmt_bul-eng: 15000	 acc: --	 ppl: 13.87	 xent: 2.63	   9.96 TFLOP/s	 2983/2994 tok/s	 7532658 sents	  53532 sec	
sentmt_bul-eng: 15500	 acc: --	 ppl: 14.03	 xent: 2.64	   8.17 TFLOP/s	 2440/2462 tok/s	 7782657 sents	  55588 sec	
sentmt_bul-eng: 16000	 acc: --	 ppl: 13.68	 xent: 2.62	   9.90 TFLOP/s	 2962/2980 tok/s	 8034525 sents	  57311 sec	
sentmt_bul-eng: 16500	 acc: --	 ppl: 13.82	 xent: 2.63	   9.83 TFLOP/s	 2940/2961 tok/s	 8284455 sents	  59031 sec	
sentmt_bul-eng: 17000	 acc: --	 ppl: 13.79	 xent: 2.62	   9.99 TFLOP/s	 2986/3010 tok/s	 8537895 sents	  60757 sec	
sentmt_bul-eng: 17500	 acc: --	 ppl: 13.57	 xent: 2.61	  10.04 TFLOP/s	 3010/3016 tok/s	 8790946 sents	  62476 sec	
sentmt_bul-eng: 18000	 acc: --	 ppl: 13.75	 xent: 2.62	   8.25 TFLOP/s	 2472/2481 tok/s	 9040473 sents	  64535 sec	
sentmt_bul-eng: 18500	 acc: --	 ppl: 13.90	 xent: 2.63	   9.78 TFLOP/s	 2932/2939 tok/s	 9287043 sents	  66258 sec	
sentmt_bul-eng: 19000	 acc: --	 ppl: 13.61	 xent: 2.61	   9.74 TFLOP/s	 2917/2931 tok/s	 9537906 sents	  67980 sec	
sentmt_bul-eng: 19500	 acc: --	 ppl: 13.65	 xent: 2.61	   9.91 TFLOP/s	 2972/2978 tok/s	 9788466 sents	  69702 sec	
sentmt_bul-eng: 20000	 acc: --	 ppl: 13.50	 xent: 2.60	  10.10 TFLOP/s	 3025/3039 tok/s	 10041838 sents	  71426 sec	
sentmt_bul-eng: 20500	 acc: --	 ppl: 13.61	 xent: 2.61	   8.18 TFLOP/s	 2449/2464 tok/s	 10294759 sents	  73506 sec	
sentmt_bul-eng: 21000	 acc: --	 ppl: 13.76	 xent: 2.62	   9.90 TFLOP/s	 2964/2979 tok/s	 10545563 sents	  75228 sec	
sentmt_bul-eng: 21500	 acc: --	 ppl: 13.66	 xent: 2.61	   9.85 TFLOP/s	 2951/2963 tok/s	 10797184 sents	  76947 sec	
sentmt_bul-eng: 22000	 acc: --	 ppl: 13.67	 xent: 2.62	   9.75 TFLOP/s	 2917/2933 tok/s	 11047720 sents	  78673 sec	
sentmt_bul-eng: 22500	 acc: --	 ppl: 13.65	 xent: 2.61	   9.94 TFLOP/s	 2976/2993 tok/s	 11299440 sents	  80513 sec	
sentmt_bul-eng: 23000	 acc: --	 ppl: 13.52	 xent: 2.60	   8.23 TFLOP/s	 2461/2478 tok/s	 11547411 sents	  82581 sec	
sentmt_bul-eng: 23500	 acc: --	 ppl: 13.51	 xent: 2.60	   9.91 TFLOP/s	 2968/2981 tok/s	 11798327 sents	  84305 sec	
sentmt_bul-eng: 24000	 acc: --	 ppl: 13.45	 xent: 2.60	  10.07 TFLOP/s	 3022/3025 tok/s	 12050699 sents	  86026 sec	
sentmt_bul-eng: 24500	 acc: --	 ppl: 13.41	 xent: 2.60	   9.95 TFLOP/s	 2983/2993 tok/s	 12303077 sents	  87748 sec	
