mt_fin-bul: 1500	 acc: --	 ppl: 524.19	 xent: 6.26	   7.67 TFLOP/s	 16819/18167 tok/s	 384016 sents	   4082 sec	
mt_fin-bul: 2000	 acc: --	 ppl: 199.61	 xent: 5.30	   8.37 TFLOP/s	 18326/19848 tok/s	 512010 sents	   5396 sec	
mt_fin-bul: 2500	 acc: --	 ppl: 69.75	 xent: 4.24	   8.25 TFLOP/s	 18051/19616 tok/s	 640016 sents	   6713 sec	
mt_fin-bul: 3000	 acc: --	 ppl: 38.84	 xent: 3.66	   6.68 TFLOP/s	 14628/15858 tok/s	 768010 sents	   8352 sec	
mt_fin-bul: 3500	 acc: --	 ppl: 28.88	 xent: 3.36	   7.68 TFLOP/s	 16818/18212 tok/s	 896024 sents	   9775 sec	
mt_fin-bul: 4000	 acc: --	 ppl: 24.37	 xent: 3.19	   8.42 TFLOP/s	 18455/19963 tok/s	 1024000 sents	  11083 sec	
mt_fin-bul: 4500	 acc: --	 ppl: 20.79	 xent: 3.03	   8.32 TFLOP/s	 18227/19756 tok/s	 1152024 sents	  12391 sec	
mt_fin-bul: 5000	 acc: --	 ppl: 18.86	 xent: 2.94	   8.41 TFLOP/s	 18418/19943 tok/s	 1280032 sents	  13693 sec	
mt_fin-bul: 5500	 acc: --	 ppl: 17.43	 xent: 2.86	   6.70 TFLOP/s	 14680/15898 tok/s	 1408016 sents	  15328 sec	
mt_fin-bul: 6000	 acc: --	 ppl: 16.46	 xent: 2.80	   8.30 TFLOP/s	 18205/19657 tok/s	 1536010 sents	  16646 sec	
mt_fin-bul: 6500	 acc: --	 ppl: 15.31	 xent: 2.73	   8.35 TFLOP/s	 18292/19808 tok/s	 1664024 sents	  17953 sec	
mt_fin-bul: 7000	 acc: --	 ppl: 14.52	 xent: 2.68	   8.33 TFLOP/s	 18240/19772 tok/s	 1792020 sents	  19265 sec	
mt_fin-bul: 7500	 acc: --	 ppl: 14.14	 xent: 2.65	   8.36 TFLOP/s	 18338/19822 tok/s	 1920016 sents	  20581 sec	
mt_fin-bul: 8000	 acc: --	 ppl: 13.56	 xent: 2.61	   6.72 TFLOP/s	 14712/15933 tok/s	 2048010 sents	  22215 sec	
mt_fin-bul: 8500	 acc: --	 ppl: 13.19	 xent: 2.58	   8.35 TFLOP/s	 18323/19806 tok/s	 2176024 sents	  23525 sec	
