mt_bos-deu: 34000	 acc: --	 ppl:  7.13	 xent: 1.96	  45.97 TFLOP/s	 13290/13632 tok/s	 10285685 sents	 152465 sec	
mt_bos-deu: 34500	 acc: --	 ppl:  7.07	 xent: 1.96	  47.67 TFLOP/s	 13801/14123 tok/s	 10437083 sents	 154653 sec	
mt_bos-deu: 35000	 acc: --	 ppl:  7.30	 xent: 1.99	  45.80 TFLOP/s	 13213/13606 tok/s	 10582367 sents	 156847 sec	
mt_bos-deu: 35500	 acc: --	 ppl:  7.18	 xent: 1.97	  40.79 TFLOP/s	 11775/12114 tok/s	 10732454 sents	 159377 sec	
mt_bos-deu: 36000	 acc: --	 ppl:  7.25	 xent: 1.98	  47.42 TFLOP/s	 13689/14085 tok/s	 10883551 sents	 161568 sec	
mt_bos-deu: 36500	 acc: --	 ppl:  7.16	 xent: 1.97	  47.88 TFLOP/s	 13866/14177 tok/s	 11035515 sents	 163762 sec	
mt_bos-deu: 37000	 acc: --	 ppl:  7.11	 xent: 1.96	  48.53 TFLOP/s	 14038/14391 tok/s	 11190839 sents	 165956 sec	
mt_bos-deu: 37500	 acc: --	 ppl:  7.16	 xent: 1.97	  46.74 TFLOP/s	 13498/13873 tok/s	 11339606 sents	 168156 sec	
mt_bos-deu: 38000	 acc: --	 ppl:  7.09	 xent: 1.96	  40.57 TFLOP/s	 11717/12039 tok/s	 11488205 sents	 170684 sec	

mt_bos-eng: 500	 acc: --	 ppl: 3247.82	 xent: 8.09	  48.09 TFLOP/s	 14059/14147 tok/s	 160039 sents	   2243 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 378.93	 xent: 5.94	  47.14 TFLOP/s	 13899/13759 tok/s	 308905 sents	   4404 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 133.60	 xent: 4.89	  47.67 TFLOP/s	 14037/13937 tok/s	 460598 sents	   6559 sec	
