denoise_fra-fra: 11750	 acc: --	 ppl: 10.57	 xent: 2.36	  15.98 TFLOP/s	 46120/48472 tok/s	 5669971 sents	  27682 sec	
denoise_fra-fra: 12000	 acc: --	 ppl: 10.46	 xent: 2.35	  15.90 TFLOP/s	 45838/48289 tok/s	 5791442 sents	  28200 sec	
denoise_fra-fra: 12250	 acc: --	 ppl: 10.71	 xent: 2.37	   9.92 TFLOP/s	 28586/30126 tok/s	 5913566 sents	  29033 sec	
denoise_fra-fra: 12500	 acc: --	 ppl: 10.53	 xent: 2.35	  16.15 TFLOP/s	 46265/49269 tok/s	 6037207 sents	  29551 sec	
denoise_fra-fra: 12750	 acc: --	 ppl: 10.74	 xent: 2.37	  15.81 TFLOP/s	 45620/47916 tok/s	 6158287 sents	  30072 sec	
denoise_fra-fra: 13000	 acc: --	 ppl: 10.97	 xent: 2.40	  15.69 TFLOP/s	 45569/47331 tok/s	 6278915 sents	  30594 sec	
denoise_fra-fra: 13250	 acc: --	 ppl: 10.59	 xent: 2.36	  10.01 TFLOP/s	 28866/30400 tok/s	 6402170 sents	  31427 sec	
denoise_fra-fra: 13500	 acc: --	 ppl: 10.42	 xent: 2.34	  16.06 TFLOP/s	 46537/48547 tok/s	 6525097 sents	  31946 sec	
denoise_fra-fra: 13750	 acc: --	 ppl: 10.42	 xent: 2.34	  15.85 TFLOP/s	 45465/48304 tok/s	 6646689 sents	  32464 sec	
denoise_fra-fra: 14000	 acc: --	 ppl: 10.76	 xent: 2.38	  16.09 TFLOP/s	 46497/48748 tok/s	 6768576 sents	  32978 sec	

denoise_deu-deu: 250	 acc: --	 ppl: 39411.40	 xent: 10.58	  15.77 TFLOP/s	 44381/48831 tok/s	 121719 sents	    515 sec	
denoise_deu-deu: 500	 acc: --	 ppl: 5990.77	 xent: 8.70	  15.69 TFLOP/s	 44109/48630 tok/s	 243205 sents	   1031 sec	
denoise_deu-deu: 750	 acc: --	 ppl: 2236.65	 xent: 7.71	  15.65 TFLOP/s	 44063/48463 tok/s	 365289 sents	   1550 sec	
denoise_deu-deu: 1000	 acc: --	 ppl: 1056.45	 xent: 6.96	  15.57 TFLOP/s	 43745/48243 tok/s	 484716 sents	   2062 sec	
denoise_deu-deu: 1250	 acc: --	 ppl: 496.64	 xent: 6.21	   9.73 TFLOP/s	 27432/30081 tok/s	 605443 sents	   2893 sec	
denoise_deu-deu: 1500	 acc: --	 ppl: 404.39	 xent: 6.00	  16.15 TFLOP/s	 45386/50036 tok/s	 732440 sents	   3417 sec	
denoise_deu-deu: 1750	 acc: --	 ppl: 218.46	 xent: 5.39	  15.91 TFLOP/s	 44724/49252 tok/s	 855594 sents	   3935 sec	
denoise_deu-deu: 2000	 acc: --	 ppl: 134.26	 xent: 4.90	  15.34 TFLOP/s	 43122/47574 tok/s	 974998 sents	   4452 sec	
denoise_deu-deu: 2250	 acc: --	 ppl: 58.50	 xent: 4.07	   9.69 TFLOP/s	 27251/30009 tok/s	 1094077 sents	   5272 sec	
denoise_deu-deu: 2500	 acc: --	 ppl: 37.44	 xent: 3.62	  15.89 TFLOP/s	 44746/49201 tok/s	 1218159 sents	   5793 sec	
denoise_deu-deu: 2750	 acc: --	 ppl: 27.34	 xent: 3.31	  15.68 TFLOP/s	 44060/48601 tok/s	 1340410 sents	   6311 sec	
denoise_deu-deu: 3000	 acc: --	 ppl: 21.71	 xent: 3.08	  15.79 TFLOP/s	 44403/48921 tok/s	 1461629 sents	   6823 sec	
denoise_deu-deu: 3250	 acc: --	 ppl: 20.19	 xent: 3.01	   9.96 TFLOP/s	 28045/30799 tok/s	 1584995 sents	   7650 sec	
denoise_deu-deu: 3500	 acc: --	 ppl: 18.26	 xent: 2.90	  15.61 TFLOP/s	 43976/48298 tok/s	 1705963 sents	   8166 sec	
denoise_deu-deu: 3750	 acc: --	 ppl: 14.85	 xent: 2.70	  15.88 TFLOP/s	 44694/49165 tok/s	 1830001 sents	   8687 sec	
denoise_deu-deu: 4000	 acc: --	 ppl: 14.93	 xent: 2.70	  15.88 TFLOP/s	 44703/49142 tok/s	 1952016 sents	   9200 sec	
denoise_deu-deu: 4250	 acc: --	 ppl: 14.78	 xent: 2.69	   9.56 TFLOP/s	 26927/29560 tok/s	 2069749 sents	  10024 sec	
denoise_deu-deu: 4500	 acc: --	 ppl: 13.71	 xent: 2.62	  15.59 TFLOP/s	 43960/48189 tok/s	 2189903 sents	  10539 sec	
denoise_deu-deu: 4750	 acc: --	 ppl: 13.08	 xent: 2.57	  15.71 TFLOP/s	 44127/48733 tok/s	 2312741 sents	  11058 sec	
denoise_deu-deu: 5000	 acc: --	 ppl: 13.10	 xent: 2.57	  15.75 TFLOP/s	 44361/48757 tok/s	 2436073 sents	  11576 sec	
denoise_deu-deu: 5250	 acc: --	 ppl: 12.32	 xent: 2.51	   9.75 TFLOP/s	 27380/30237 tok/s	 2557802 sents	  12404 sec	
denoise_deu-deu: 5500	 acc: --	 ppl: 12.37	 xent: 2.52	  15.83 TFLOP/s	 44418/49146 tok/s	 2681274 sents	  12922 sec	
denoise_deu-deu: 5750	 acc: --	 ppl: 12.71	 xent: 2.54	  15.45 TFLOP/s	 43460/47865 tok/s	 2800789 sents	  13439 sec	
denoise_deu-deu: 6000	 acc: --	 ppl: 13.02	 xent: 2.57	  15.23 TFLOP/s	 42675/47300 tok/s	 2918354 sents	  13953 sec	
denoise_deu-deu: 6250	 acc: --	 ppl: 12.74	 xent: 2.54	   9.59 TFLOP/s	 27093/29598 tok/s	 3036066 sents	  14778 sec	
denoise_deu-deu: 6500	 acc: --	 ppl: 12.09	 xent: 2.49	  15.38 TFLOP/s	 43301/47571 tok/s	 3155790 sents	  15299 sec	
denoise_deu-deu: 6750	 acc: --	 ppl: 11.53	 xent: 2.44	  15.82 TFLOP/s	 44363/49106 tok/s	 3278328 sents	  15815 sec	
denoise_deu-deu: 7000	 acc: --	 ppl: 11.74	 xent: 2.46	  15.50 TFLOP/s	 43678/47974 tok/s	 3398604 sents	  16332 sec	
denoise_deu-deu: 7250	 acc: --	 ppl: 12.07	 xent: 2.49	   9.62 TFLOP/s	 27092/29795 tok/s	 3518002 sents	  17158 sec	
denoise_deu-deu: 7500	 acc: --	 ppl: 11.33	 xent: 2.43	  15.57 TFLOP/s	 43805/48239 tok/s	 3639004 sents	  17675 sec	
denoise_deu-deu: 7750	 acc: --	 ppl: 11.48	 xent: 2.44	  15.78 TFLOP/s	 44534/48758 tok/s	 3761198 sents	  18191 sec	
denoise_deu-deu: 8000	 acc: --	 ppl: 11.14	 xent: 2.41	  15.53 TFLOP/s	 43636/48151 tok/s	 3880596 sents	  18704 sec	
denoise_deu-deu: 8250	 acc: --	 ppl: 10.78	 xent: 2.38	   9.78 TFLOP/s	 27422/30390 tok/s	 4002505 sents	  19531 sec	
denoise_deu-deu: 8500	 acc: --	 ppl: 11.37	 xent: 2.43	  15.60 TFLOP/s	 43851/48318 tok/s	 4121931 sents	  20042 sec	
denoise_deu-deu: 8750	 acc: --	 ppl: 11.03	 xent: 2.40	  16.03 TFLOP/s	 45155/49611 tok/s	 4244833 sents	  20553 sec	
denoise_deu-deu: 9000	 acc: --	 ppl: 11.27	 xent: 2.42	  16.15 TFLOP/s	 45485/49974 tok/s	 4369897 sents	  21068 sec	
denoise_deu-deu: 9250	 acc: --	 ppl: 10.76	 xent: 2.38	   9.94 TFLOP/s	 27932/30813 tok/s	 4493326 sents	  21892 sec	
denoise_deu-deu: 9500	 acc: --	 ppl: 10.94	 xent: 2.39	  15.27 TFLOP/s	 42927/47341 tok/s	 4612141 sents	  22410 sec	
denoise_deu-deu: 9750	 acc: --	 ppl: 10.73	 xent: 2.37	  15.73 TFLOP/s	 44204/48781 tok/s	 4734142 sents	  22926 sec	
denoise_deu-deu: 10000	 acc: --	 ppl: 10.53	 xent: 2.35	  15.48 TFLOP/s	 43541/47995 tok/s	 4855367 sents	  23446 sec	
denoise_deu-deu: 10250	 acc: --	 ppl: 10.59	 xent: 2.36	   9.83 TFLOP/s	 27646/30454 tok/s	 4977272 sents	  24274 sec	
denoise_deu-deu: 10500	 acc: --	 ppl: 10.50	 xent: 2.35	  15.23 TFLOP/s	 42745/47281 tok/s	 5093928 sents	  24783 sec	
denoise_deu-deu: 10750	 acc: --	 ppl: 10.36	 xent: 2.34	  15.85 TFLOP/s	 44511/49132 tok/s	 5216647 sents	  25299 sec	
denoise_deu-deu: 11000	 acc: --	 ppl: 10.33	 xent: 2.34	  15.68 TFLOP/s	 44229/48466 tok/s	 5338232 sents	  25818 sec	
denoise_deu-deu: 11250	 acc: --	 ppl: 10.64	 xent: 2.36	   9.80 TFLOP/s	 27563/30335 tok/s	 5458855 sents	  26640 sec	
denoise_deu-deu: 11500	 acc: --	 ppl: 10.02	 xent: 2.30	  16.05 TFLOP/s	 45159/49705 tok/s	 5584249 sents	  27162 sec	
denoise_deu-deu: 11750	 acc: --	 ppl: 10.96	 xent: 2.39	  15.40 TFLOP/s	 43280/47747 tok/s	 5704256 sents	  27682 sec	
denoise_deu-deu: 12000	 acc: --	 ppl: 10.16	 xent: 2.32	  16.00 TFLOP/s	 44981/49554 tok/s	 5828544 sents	  28200 sec	
denoise_deu-deu: 12250	 acc: --	 ppl: 10.14	 xent: 2.32	   9.94 TFLOP/s	 28038/30696 tok/s	 5952428 sents	  29033 sec	
denoise_deu-deu: 12500	 acc: --	 ppl: 10.14	 xent: 2.32	  15.54 TFLOP/s	 43704/48106 tok/s	 6072598 sents	  29551 sec	
denoise_deu-deu: 12750	 acc: --	 ppl: 10.39	 xent: 2.34	  15.81 TFLOP/s	 44395/49040 tok/s	 6196056 sents	  30072 sec	
denoise_deu-deu: 13000	 acc: --	 ppl: 10.10	 xent: 2.31	  15.57 TFLOP/s	 43867/48169 tok/s	 6317957 sents	  30594 sec	
denoise_deu-deu: 13250	 acc: --	 ppl: 10.13	 xent: 2.32	   9.90 TFLOP/s	 27939/30582 tok/s	 6441228 sents	  31427 sec	
denoise_deu-deu: 13500	 acc: --	 ppl:  9.51	 xent: 2.25	  15.93 TFLOP/s	 44797/49392 tok/s	 6565412 sents	  31946 sec	
denoise_deu-deu: 13750	 acc: --	 ppl:  9.93	 xent: 2.30	  15.78 TFLOP/s	 44413/48870 tok/s	 6688072 sents	  32464 sec	
denoise_deu-deu: 14000	 acc: --	 ppl: 10.11	 xent: 2.31	  16.03 TFLOP/s	 45110/49629 tok/s	 6811430 sents	  32978 sec	

simpl_deu-deu: 250	 acc: --	 ppl: 11261.26	 xent: 9.33	  11.56 TFLOP/s	 36565/35544 tok/s	 314930 sents	    515 sec	
simpl_deu-deu: 500	 acc: --	 ppl: 1832.01	 xent: 7.51	  11.36 TFLOP/s	 35995/34916 tok/s	 642746 sents	   1031 sec	
simpl_deu-deu: 750	 acc: --	 ppl: 239.84	 xent: 5.48	  11.40 TFLOP/s	 36066/35026 tok/s	 959027 sents	   1550 sec	
simpl_deu-deu: 1000	 acc: --	 ppl: 70.41	 xent: 4.25	  10.96 TFLOP/s	 34845/33700 tok/s	 1302804 sents	   2062 sec	
simpl_deu-deu: 1250	 acc: --	 ppl: 76.84	 xent: 4.34	   7.28 TFLOP/s	 22986/22377 tok/s	 1604670 sents	   2893 sec	
simpl_deu-deu: 1500	 acc: --	 ppl: 80.97	 xent: 4.39	  11.94 TFLOP/s	 37655/36681 tok/s	 1911599 sents	   3417 sec	
simpl_deu-deu: 1750	 acc: --	 ppl: 63.36	 xent: 4.15	  11.76 TFLOP/s	 37135/36121 tok/s	 2226502 sents	   3935 sec	
