instruct_eng-ron: 48000	 acc: --	 ppl: 41.72	 xent: 3.73	   9.03 TFLOP/s	 2993/2472 tok/s	 224818 sents	   2045 sec	
instruct_eng-ron: 48500	 acc: --	 ppl: 41.63	 xent: 3.73	   8.13 TFLOP/s	 2701/2224 tok/s	 436195 sents	   4165 sec	
instruct_eng-ron: 49000	 acc: --	 ppl: 44.55	 xent: 3.80	   8.74 TFLOP/s	 2924/2374 tok/s	 654958 sents	   6164 sec	
instruct_eng-ron: 49500	 acc: --	 ppl: 35.74	 xent: 3.58	   8.56 TFLOP/s	 2825/2354 tok/s	 874653 sents	   8311 sec	
instruct_eng-ron: 50000	 acc: --	 ppl: 36.83	 xent: 3.61	   8.87 TFLOP/s	 2942/2427 tok/s	 1099557 sents	  10393 sec	
instruct_eng-ron: 50500	 acc: --	 ppl: 39.37	 xent: 3.67	   7.47 TFLOP/s	 2513/2014 tok/s	 1314835 sents	  12714 sec	
instruct_eng-ron: 51000	 acc: --	 ppl: 37.63	 xent: 3.63	   7.04 TFLOP/s	 2319/1940 tok/s	 1533611 sents	  15205 sec	
instruct_eng-ron: 51500	 acc: --	 ppl: 35.09	 xent: 3.56	   7.60 TFLOP/s	 2490/2105 tok/s	 1753459 sents	  17564 sec	
instruct_eng-ron: 52000	 acc: --	 ppl: 34.38	 xent: 3.54	   6.88 TFLOP/s	 2250/1907 tok/s	 1958899 sents	  20006 sec	
instruct_eng-ron: 52500	 acc: --	 ppl: 36.74	 xent: 3.60	   7.42 TFLOP/s	 2444/2046 tok/s	 2184205 sents	  22441 sec	
instruct_eng-ron: 53000	 acc: --	 ppl: 40.94	 xent: 3.71	   6.88 TFLOP/s	 2595/1618 tok/s	 2400246 sents	  25296 sec	
instruct_eng-ron: 53500	 acc: --	 ppl: 54.24	 xent: 3.99	   9.30 TFLOP/s	 4445/1398 tok/s	 2573547 sents	  27770 sec	
instruct_eng-ron: 54000	 acc: --	 ppl: 55.45	 xent: 4.02	   9.71 TFLOP/s	 4623/1475 tok/s	 2759169 sents	  30253 sec	
instruct_eng-ron: 54500	 acc: --	 ppl: 53.05	 xent: 3.97	   9.58 TFLOP/s	 4605/1417 tok/s	 2932218 sents	  32715 sec	
instruct_eng-ron: 55000	 acc: --	 ppl: 52.83	 xent: 3.97	   9.38 TFLOP/s	 4516/1382 tok/s	 3107021 sents	  35251 sec	

