mt_eng-bos: 13000	 acc: --	 ppl:  7.33	 xent: 1.99	  11.46 TFLOP/s	 12761/11119 tok/s	 2767992 sents	  37437 sec	
mt_eng-bos: 13500	 acc: --	 ppl:  7.28	 xent: 1.98	  12.96 TFLOP/s	 14434/12582 tok/s	 2874881 sents	  38920 sec	
mt_eng-bos: 14000	 acc: --	 ppl:  7.25	 xent: 1.98	  14.11 TFLOP/s	 15733/13687 tok/s	 2982189 sents	  40281 sec	
mt_eng-bos: 14500	 acc: --	 ppl:  7.20	 xent: 1.97	  14.53 TFLOP/s	 16192/14103 tok/s	 3091438 sents	  41634 sec	
mt_eng-bos: 15000	 acc: --	 ppl:  7.15	 xent: 1.97	  13.96 TFLOP/s	 15559/13545 tok/s	 3198366 sents	  43006 sec	
mt_eng-bos: 15500	 acc: --	 ppl:  7.10	 xent: 1.96	  11.41 TFLOP/s	 12714/11075 tok/s	 3305676 sents	  44692 sec	
mt_eng-bos: 16000	 acc: --	 ppl:  7.08	 xent: 1.96	  14.15 TFLOP/s	 15772/13736 tok/s	 3413971 sents	  46062 sec	
mt_eng-bos: 16500	 acc: --	 ppl:  7.01	 xent: 1.95	  14.34 TFLOP/s	 15984/13917 tok/s	 3522293 sents	  47415 sec	
mt_eng-bos: 17000	 acc: --	 ppl:  7.00	 xent: 1.95	  14.00 TFLOP/s	 15596/13594 tok/s	 3629330 sents	  48786 sec	
mt_eng-bos: 17500	 acc: --	 ppl:  6.98	 xent: 1.94	  13.61 TFLOP/s	 15160/13207 tok/s	 3733141 sents	  50155 sec	
mt_eng-bos: 18000	 acc: --	 ppl:  6.94	 xent: 1.94	  11.65 TFLOP/s	 12985/11296 tok/s	 3842547 sents	  51838 sec	
mt_eng-bos: 18500	 acc: --	 ppl:  6.91	 xent: 1.93	  13.89 TFLOP/s	 15484/13470 tok/s	 3947787 sents	  53194 sec	
mt_eng-bos: 19000	 acc: --	 ppl:  6.90	 xent: 1.93	  13.99 TFLOP/s	 15599/13574 tok/s	 4053323 sents	  54542 sec	
mt_eng-bos: 19500	 acc: --	 ppl:  6.88	 xent: 1.93	  14.08 TFLOP/s	 15684/13670 tok/s	 4158964 sents	  55889 sec	
mt_eng-bos: 20000	 acc: --	 ppl:  6.86	 xent: 1.93	  14.03 TFLOP/s	 15622/13629 tok/s	 4264897 sents	  57248 sec	
mt_eng-bos: 20500	 acc: --	 ppl:  6.81	 xent: 1.92	  11.39 TFLOP/s	 12695/11058 tok/s	 4371721 sents	  58929 sec	
mt_eng-bos: 21000	 acc: --	 ppl:  6.79	 xent: 1.92	  14.21 TFLOP/s	 15841/13792 tok/s	 4479516 sents	  60289 sec	
mt_eng-bos: 21500	 acc: --	 ppl:  6.78	 xent: 1.91	  13.89 TFLOP/s	 15480/13480 tok/s	 4584915 sents	  61654 sec	
mt_eng-bos: 22000	 acc: --	 ppl:  6.76	 xent: 1.91	  14.15 TFLOP/s	 15779/13722 tok/s	 4692332 sents	  63014 sec	
mt_eng-bos: 22500	 acc: --	 ppl:  6.76	 xent: 1.91	  14.08 TFLOP/s	 15679/13673 tok/s	 4798594 sents	  64372 sec	
mt_eng-bos: 23000	 acc: --	 ppl:  6.73	 xent: 1.91	  11.64 TFLOP/s	 12971/11295 tok/s	 4907826 sents	  66056 sec	
mt_eng-bos: 23500	 acc: --	 ppl:  6.72	 xent: 1.90	  14.20 TFLOP/s	 15819/13792 tok/s	 5015039 sents	  67410 sec	
mt_eng-bos: 24000	 acc: --	 ppl:  6.69	 xent: 1.90	  14.04 TFLOP/s	 15626/13636 tok/s	 5120496 sents	  68756 sec	
mt_eng-bos: 24500	 acc: --	 ppl:  6.68	 xent: 1.90	  14.43 TFLOP/s	 16075/14012 tok/s	 5229683 sents	  70110 sec	
mt_eng-bos: 25000	 acc: --	 ppl:  6.66	 xent: 1.90	  13.12 TFLOP/s	 14626/12733 tok/s	 5337846 sents	  71584 sec	
mt_eng-bos: 25500	 acc: --	 ppl:  6.66	 xent: 1.90	  11.70 TFLOP/s	 13020/11364 tok/s	 5448110 sents	  73274 sec	
mt_eng-bos: 26000	 acc: --	 ppl:  6.64	 xent: 1.89	  13.96 TFLOP/s	 15562/13543 tok/s	 5555680 sents	  74653 sec	
mt_eng-bos: 26500	 acc: --	 ppl:  6.62	 xent: 1.89	  13.77 TFLOP/s	 15340/13366 tok/s	 5659075 sents	  76001 sec	
mt_eng-bos: 27000	 acc: --	 ppl:  6.62	 xent: 1.89	  14.52 TFLOP/s	 16184/14091 tok/s	 5769105 sents	  77356 sec	
mt_eng-bos: 27500	 acc: --	 ppl:  6.62	 xent: 1.89	  14.05 TFLOP/s	 15648/13644 tok/s	 5874622 sents	  78707 sec	
mt_eng-bos: 28000	 acc: --	 ppl:  6.59	 xent: 1.89	  11.41 TFLOP/s	 12714/11077 tok/s	 5980416 sents	  80370 sec	
mt_eng-bos: 28500	 acc: --	 ppl:  6.58	 xent: 1.88	  14.09 TFLOP/s	 15702/13667 tok/s	 6086786 sents	  81723 sec	
