wiki_eng-fin: 23500	 acc: --	 ppl:  7.22	 xent: 1.98	  12.58 TFLOP/s	 29206/28451 tok/s	 12032072 sents	  82171 sec	
wiki_eng-fin: 24000	 acc: --	 ppl:  7.16	 xent: 1.97	  13.28 TFLOP/s	 30805/29955 tok/s	 12288020 sents	  83880 sec	
wiki_eng-fin: 24500	 acc: --	 ppl:  7.21	 xent: 1.98	  13.52 TFLOP/s	 31377/30473 tok/s	 12544064 sents	  85576 sec	
wiki_eng-fin: 25000	 acc: --	 ppl:  7.14	 xent: 1.97	  13.24 TFLOP/s	 30749/29851 tok/s	 12800052 sents	  87282 sec	
wiki_eng-fin: 25500	 acc: --	 ppl:  7.06	 xent: 1.95	  12.87 TFLOP/s	 29812/29054 tok/s	 13056072 sents	  89052 sec	
wiki_eng-fin: 26000	 acc: --	 ppl:  7.09	 xent: 1.96	  12.92 TFLOP/s	 29977/29225 tok/s	 13312084 sents	  90767 sec	
wiki_eng-fin: 26500	 acc: --	 ppl:  7.06	 xent: 1.96	  13.28 TFLOP/s	 30789/29996 tok/s	 13568060 sents	  92466 sec	
wiki_eng-fin: 27000	 acc: --	 ppl:  7.00	 xent: 1.95	  13.53 TFLOP/s	 31351/30540 tok/s	 13824084 sents	  94147 sec	
wiki_eng-fin: 27500	 acc: --	 ppl:  7.02	 xent: 1.95	  12.94 TFLOP/s	 30027/29255 tok/s	 14080060 sents	  95866 sec	
wiki_eng-fin: 28000	 acc: --	 ppl:  7.04	 xent: 1.95	  12.60 TFLOP/s	 29243/28450 tok/s	 14336064 sents	  97636 sec	
wiki_eng-fin: 28500	 acc: --	 ppl:  7.00	 xent: 1.95	  13.42 TFLOP/s	 31136/30239 tok/s	 14592080 sents	  99348 sec	
wiki_eng-fin: 29000	 acc: --	 ppl:  7.02	 xent: 1.95	  13.21 TFLOP/s	 30648/29803 tok/s	 14848060 sents	 101076 sec	
wiki_eng-fin: 29500	 acc: --	 ppl:  7.00	 xent: 1.95	  13.17 TFLOP/s	 30561/29689 tok/s	 15104084 sents	 102813 sec	
wiki_eng-fin: 30000	 acc: --	 ppl:  6.96	 xent: 1.94	  13.01 TFLOP/s	 30152/29381 tok/s	 15360080 sents	 104557 sec	
wiki_eng-fin: 30500	 acc: --	 ppl:  6.95	 xent: 1.94	  12.95 TFLOP/s	 29996/29199 tok/s	 15616072 sents	 106333 sec	
wiki_eng-fin: 31000	 acc: --	 ppl:  6.96	 xent: 1.94	  13.16 TFLOP/s	 30513/29672 tok/s	 15872072 sents	 108083 sec	
wiki_eng-fin: 31500	 acc: --	 ppl:  6.93	 xent: 1.94	  13.18 TFLOP/s	 30537/29749 tok/s	 16128052 sents	 109822 sec	
wiki_eng-fin: 32000	 acc: --	 ppl:  6.90	 xent: 1.93	  13.20 TFLOP/s	 30587/29774 tok/s	 16384052 sents	 111551 sec	
wiki_eng-fin: 32500	 acc: --	 ppl:  6.92	 xent: 1.93	  13.29 TFLOP/s	 30826/29981 tok/s	 16640072 sents	 113267 sec	
wiki_eng-fin: 33000	 acc: --	 ppl:  6.87	 xent: 1.93	  12.56 TFLOP/s	 29097/28342 tok/s	 16896072 sents	 115093 sec	
wiki_eng-fin: 33500	 acc: --	 ppl:  6.87	 xent: 1.93	  13.14 TFLOP/s	 30439/29656 tok/s	 17152060 sents	 116842 sec	
wiki_eng-fin: 34000	 acc: --	 ppl:  6.86	 xent: 1.93	  13.13 TFLOP/s	 30391/29646 tok/s	 17408060 sents	 118594 sec	
wiki_eng-fin: 34500	 acc: --	 ppl:  6.90	 xent: 1.93	  13.39 TFLOP/s	 31100/30104 tok/s	 17664084 sents	 120344 sec	
wiki_eng-fin: 35000	 acc: --	 ppl:  6.87	 xent: 1.93	  13.26 TFLOP/s	 30783/29895 tok/s	 17920080 sents	 122057 sec	
wiki_eng-fin: 35500	 acc: --	 ppl:  6.90	 xent: 1.93	  12.31 TFLOP/s	 28621/27782 tok/s	 18176032 sents	 123863 sec	
wiki_eng-fin: 36000	 acc: --	 ppl:  6.84	 xent: 1.92	  13.02 TFLOP/s	 30221/29381 tok/s	 18432060 sents	 125602 sec	
wiki_eng-fin: 36500	 acc: --	 ppl:  6.82	 xent: 1.92	  13.09 TFLOP/s	 30401/29510 tok/s	 18688060 sents	 127333 sec	
wiki_eng-fin: 37000	 acc: --	 ppl:  6.80	 xent: 1.92	  13.15 TFLOP/s	 30531/29662 tok/s	 18944084 sents	 129047 sec	
wiki_eng-fin: 37500	 acc: --	 ppl:  6.80	 xent: 1.92	  13.29 TFLOP/s	 30869/29971 tok/s	 19200064 sents	 130755 sec	
wiki_eng-fin: 38000	 acc: --	 ppl:  6.81	 xent: 1.92	  12.65 TFLOP/s	 29304/28526 tok/s	 19456060 sents	 132579 sec	
